Region,District,Latitude,Longitude
Arunachal Pradesh,Upper Siang,28.875,95.25
Arunachal Pradesh,West Siang,28.583,94.667
Darjeeling-Kalimpong,Darjeeling,26.875,88.375
Darjeeling-Kalimpong,Kalimpong,27.0,88.75
Himachal Pradesh,Chamba,32.625,76.5
Himachal Pradesh,Kangra,32.0,76.125
Himachal Pradesh,Kinnaur,31.731,78.423
Himachal Pradesh,Kullu,32.089,77.429
Himachal Pradesh,Lahaul-Spiti,32.562,78.062
Himachal Pradesh,Mandi,31.688,76.75
Himachal Pradesh,Shimla,31.2,77.425
Jammu & Kashmir,Doda,33.167,75.833
Jammu & Kashmir,Poonch,33.875,74.25
Jammu & Kashmir,Rajouri,33.25,74.25
Jammu & Kashmir,Ramban,33.125,75.25
Karnataka Western Ghats,Chikkamagaluru,13.25,75.75
Karnataka Western Ghats,Kodagu,12.5,75.75
Kerala Western Ghats,Idukki,9.75,77.0
Kerala Western Ghats,Kozhikode,11.417,75.833
Kerala Western Ghats,Malappuram,11.15,76.2
Kerala Western Ghats,Palakkad,10.812,76.688
Kerala Western Ghats,Thrissur,10.5,76.25
Kerala Western Ghats,Wayanad,11.75,76.125
Maharashtra Western Ghats,Raigad,18.375,73.25
Maharashtra Western Ghats,Ratnagiri,17.25,73.5
Maharashtra Western Ghats,Satara,17.786,74.071
Meghalaya,East Khasi Hills,25.375,91.875
Sikkim,East Sikkim,27.25,88.625
Sikkim,North Sikkim,27.75,88.625
Sikkim,South Sikkim,27.25,88.25
Uttarakhand,Chamoli,30.375,79.679
Uttarakhand,Rudraprayag,30.375,79.125
Uttarakhand,Tehri Garhwal,30.25,78.5
Uttarakhand,Uttarkashi,30.773,78.591
