Region,District,Latitude,Longitude,Elevation_m,Slope_degrees
Arunachal Pradesh,Upper Siang,28.875,95.25,2864.0,26.57
Arunachal Pradesh,West Siang,28.583,94.667,615.0,26.31
Darjeeling-Kalimpong,Darjeeling,26.875,88.375,679.0,22.93
Darjeeling-Kalimpong,Kalimpong,27.0,88.75,826.0,28.19
Himachal Pradesh,Chamba,32.625,76.5,3928.0,35.42
Himachal Pradesh,Kangra,32.0,76.125,418.0,1.89
Himachal Pradesh,Kinnaur,31.731,78.423,4283.0,29.09
Himachal Pradesh,Kullu,32.089,77.429,4670.0,40.66
Himachal Pradesh,Lahaul-Spiti,32.562,78.062,5574.0,26.15
Himachal Pradesh,Mandi,31.688,76.75,1142.0,24.19
Himachal Pradesh,Shimla,31.2,77.425,2389.0,19.47
Jammu & Kashmir,Doda,33.167,75.833,1373.0,39.57
Jammu & Kashmir,Poonch,33.875,74.25,2328.0,26.13
Jammu & Kashmir,Rajouri,33.25,74.25,810.0,12.33
Jammu & Kashmir,Ramban,33.125,75.25,2248.0,16.9
Karnataka Western Ghats,Chikkamagaluru,13.25,75.75,1057.0,1.41
Karnataka Western Ghats,Kodagu,12.5,75.75,1064.0,17.69
Kerala Western Ghats,Idukki,9.75,77.0,846.0,13.66
Kerala Western Ghats,Kozhikode,11.417,75.833,40.0,2.57
Kerala Western Ghats,Malappuram,11.15,76.2,88.0,7.48
Kerala Western Ghats,Palakkad,10.812,76.688,88.0,0.87
Kerala Western Ghats,Thrissur,10.5,76.25,29.0,1.54
Kerala Western Ghats,Wayanad,11.75,76.125,788.0,9.35
Maharashtra Western Ghats,Raigad,18.375,73.25,101.0,19.94
Maharashtra Western Ghats,Ratnagiri,17.25,73.5,236.0,8.51
Maharashtra Western Ghats,Satara,17.786,74.071,714.0,6.15
Meghalaya,East Khasi Hills,25.375,91.875,1432.0,14.92
Sikkim,East Sikkim,27.25,88.625,1606.0,20.82
Sikkim,North Sikkim,27.75,88.625,4517.0,29.17
Sikkim,South Sikkim,27.25,88.25,950.0,20.16
Uttarakhand,Chamoli,30.375,79.679,3745.0,42.59
Uttarakhand,Rudraprayag,30.375,79.125,2284.0,41.46
Uttarakhand,Tehri Garhwal,30.25,78.5,923.0,19.47
Uttarakhand,Uttarkashi,30.773,78.591,1768.0,24.04
