Feature,Importance
Surface_Runoff_Proxy,0.15365401330046385
Soil_Moisture_Surface,0.13220984594765517
Precip_1d,0.11070530235603554
Precipitation_mm,0.10008956025751857
Combined_Soil_Saturation,0.0720365649750606
Is_Heavy_Rain,0.051288411854479715
Antecedent_Precip_Index,0.04444205580768135
Precip_3d_sum,0.04349077406542068
Precip_3d_max,0.033791883761513354
Precip_7d_sum,0.03208078441811806
Elevation_Precip_Load,0.030714214821106214
Precip_7d_mean,0.02778194707572603
Runoff_Energy_Index,0.025692249417319322
Soil_Moisture_Surface_3d_mean,0.022686363023960578
Soil_Moisture_RootZone,0.017846022166600937
Soil_Surface_Delta_24h,0.014520482737560177
Precip_14d_sum,0.013280314791790588
Soil_Moisture_Root_7d_mean,0.012268610762878633
Soil_Surface_Delta_48h,0.010181391597945686
Precip_3d_lag1,0.005491215783554501
Slope_degrees,0.004652605157441531
Sin_Slope,0.004359082658314995
Humidity_pct,0.003727036469888182
Is_Very_Heavy_Rain,0.0031933299123123988
Elevation_m,0.0029460635590638578
Atmospheric_Moisture_Index,0.002725856744883415
Temp_Avg_C,0.0024564356110745467
Precip_lag1,0.0022618161564360293
Temp_Min_C,0.002245841789226891
Temp_Max_C,0.0022066362081974754
Cos_Day_of_Year,0.00219866283985787
Temp_Drop_24h,0.00209728913092372
Humidity_3d_mean,0.0017654906367995027
Precip_lag2,0.0017221134751160946
Latitude,0.001710819529014715
Day_of_Year,0.0012213982442744276
Sin_Day_of_Year,0.001157386564080541
Longitude,0.0009962180803091177
Is_Monsoon_Season,0.000890062801230659
Diurnal_Temp_Range,0.0006951368725827072
Month,0.0004917858147905937
Is_Post_Monsoon,2.6922821791123297e-05
Is_Extremely_Heavy_Rain,0.0
